record_id,standard_code,record_type,title,machine_extraction_status,excerpt_count,reference_labels,extracted_text,issues,reviewer_decision,reviewer_notes
GB22239-FW-022,GB/T 22239—2019,requirement-control,限制远程管理终端来源,Extracted,3,7.1.4.4 c | 8.1.4.4 c | 9.1.4.4 c,"7 . 1 . 4 . 4    入侵防范
c)   应通过设定终端接入方式或网络地址范围对通过网络进行管理的管理终端进行限制 ;

--- EXCERPT ---

8 . 1 . 4 . 4    入侵防范
c)   应通过设定终端接入方式或网络地址范围对通过网络进行管理的管理终端进行限制 ;

--- EXCERPT ---

9 . 1 . 4 . 4    入侵防范
c)   应通过设定终端接入方式或网络地址范围对通过网络进行管理的管理终端进行限制 ;",,,
GB22239-FW-023,GB/T 22239—2019,requirement-control,关闭不需要的服务和高危端口,Extracted,4,6.1.4.3 a-b | 7.1.4.4 a-b | 8.1.4.4 a-b | 9.1.4.4 a-b,"6 . 1 . 4 . 3    入侵防范
a)   应遵循最小安装的原则,仅安装需要的组件和应用程序 ;
b)   应关闭不需要的系统服务、默认共享和高危端口。

--- EXCERPT ---

7 . 1 . 4 . 4    入侵防范
a)   应遵循最小安装的原则,仅安装需要的组件和应用程序 ;
b)   应关闭不需要的系统服务、默认共享和高危端口 ;

--- EXCERPT ---

8 . 1 . 4 . 4    入侵防范
a)   应遵循最小安装的原则,仅安装需要的组件和应用程序 ;
b)   应关闭不需要的系统服务、默认共享和高危端口 ;

--- EXCERPT ---

9 . 1 . 4 . 4    入侵防范
a)   应遵循最小安装的原则,仅安装需要的组件和应用程序 ;
b)   应关闭不需要的系统服务、默认共享和高危端口 ;",,,
GB22239-FW-024,GB/T 22239—2019,requirement-control,已知漏洞发现和修补,Extracted,3,7.1.4.4 e | 8.1.4.4 e | 9.1.4.4 e,"7 . 1 . 4 . 4    入侵防范
e)   应能发现可能存在的已知漏洞,并在经过充分测试评估后,及时修补漏洞。

--- EXCERPT ---

8 . 1 . 4 . 4    入侵防范
e)   应能发现可能存在的已知漏洞,并在经过充分测试评估后,及时修补漏洞 ;

--- EXCERPT ---

9 . 1 . 4 . 4    入侵防范
e)   应能发现可能存在的已知漏洞,并在经过充分测试评估后,及时修补漏洞 ;",,,
GB22239-FW-025,GB/T 22239—2019,requirement-control,重要配置和数据备份恢复,Extracted,4,6.1.4.7 | 7.1.4.8 a-b | 8.1.4.9 a-b | 9.1.4.9 a-b,"6 . 1 . 4 . 7    数据备份恢复
应提供重要数据的本地数据备份与恢复功能。

--- EXCERPT ---

7 . 1 . 4 . 8    数据备份恢复
a)   应提供重要数据的本地数据备份与恢复功能 ;
b)   应提供异地数据备份功能,利用通信网络将重要数据定时批量传送至备用场地。

--- EXCERPT ---

8 . 1 . 4 . 9    数据备份恢复
a)   应提供重要数据的本地数据备份与恢复功能 ;
b)   应提供异地实时备份功能,利用通信网络将重要数据实时备份至备份场地 ;

--- EXCERPT ---

9 . 1 . 4 . 9    数据备份恢复
a)   应提供重要数据的本地数据备份与恢复功能 ;
b)   应提供异地实时备份功能,利用通信网络将重要数据实时备份至备份场地 ;",,,
GB22239-FW-026,GB/T 22239—2019,requirement-control,设备安全审计功能及审计进程保护,Extracted,3,7.1.4.3 a-c | 8.1.4.3 a-d | 9.1.4.3 a-d,"7 . 1 . 4 . 3    安全审计
a)   应启用安全审计功能,审计覆盖到每个用户,对重要的用户行为和重要安全事件进行审计 ;
b)   审计记录应包括事件的日期和时间、用户、事件类型、事件是否成功及其他与审计相关的信息 ;
c)   应对审计记录进行保护,定期备份,避免受到未预期的删除、修改或覆盖等。

--- EXCERPT ---

8 . 1 . 4 . 3    安全审计
a)   应启用安全审计功能,审计覆盖到每个用户,对重要的用户行为和重要安全事件进行审计 ;
b)   审计记录应包括事件的 日期和时间、用户、事件类型、事件是否成功及其他与审计相关的信息 ;
c)   应对审计记录进行保护,定期备份,避免受到未预期的删除、修改或覆盖等 ;
d)   应对审计进程进行保护,防止未经授权的中断。

--- EXCERPT ---

9 . 1 . 4 . 3    安全审计
a)   应启用安全审计功能,审计覆盖到每个用户,对重要的用户行为和重要安全事件进行审计 ;
b)   审计记录应包括事件的 日期和时间、事件类型、主体标识、客体标识和结果等 ;
c)   应对审计记录进行保护,定期备份,避免受到未预期的删除、修改或覆盖等 ;
d)   应对审计进程进行保护,防止未经授权的中断。",,,
GB22239-FW-027,GB/T 22239—2019,requirement-control,系统管理员身份鉴别、受限操作界面和操作审计,Extracted,3,7.1.5.1 a | 8.1.5.1 a | 9.1.5.1 a,"7 . 1 . 5 . 1     系统管理
a)   应对系统管理员进行身份鉴别,只允许其通过特定的命令或操作界面进行系统管理操作,并对这些操作进行审计 ;

--- EXCERPT ---

8 . 1 . 5 . 1     系统管理
a)   应对系统管理员进行身份鉴别,只允许其通过特定的命令或操作界面进行系统管理操作,并对这些操作进行审计 ;

--- EXCERPT ---

9 . 1 . 5 . 1     系统管理
a)   应对系统管理员进行身份鉴别,只允许其通过特定的命令或操作界面进行系统管理操作,并对这些操作进行审计 ;",,,
GB22239-FW-028,GB/T 22239—2019,requirement-control,审计管理员身份鉴别、受限操作界面和操作审计,Extracted,3,7.1.5.2 a | 8.1.5.2 a | 9.1.5.2 a,"7 . 1 . 5 . 2    审计管理
a)   应对审计管理员进行身份鉴别,只允许其通过特定的命令或操作界面进行安全审计操作,并对这些操作进行审计 ;

--- EXCERPT ---

8 . 1 . 5 . 2    审计管理
a)   应对审计管理员进行身份鉴别,只允许其通过特定的命令或操作界面进行安全审计操作,并对这些操作进行审计 ;

--- EXCERPT ---

9 . 1 . 5 . 2    审计管理
a)   应对审计管理员进行身份鉴别,只允许其通过特定的命令或操作界面进行安全审计操作,并对这些操作进行审计 ;",,,
GB22239-FW-029,GB/T 22239—2019,requirement-control,安全管理员身份鉴别、受限操作界面和操作审计,Extracted,2,8.1.5.3 a-b | 9.1.5.3 a-b,"8 . 1 . 5 . 3    安全管理
a)   应对安全管理员进行身份鉴别,只允许其通过特定的命令或操作界面进行安全管理操作,并对这些操作进行审计 ;
b)   应通过安全管理员对系统中的安全策略进行配置,包括安全参数的设置,主体、客体进行统 一安全标记,对主体进行授权,配置可信验证策略等。

--- EXCERPT ---

9 . 1 . 5 . 3    安全管理
a)   应对安全管理员进行身份鉴别,只允许其通过特定的命令或操作界面进行安全管理操作,并对这些操作进行审计 ;
b)   应通过安全管理员对系统中的安全策略进行配置,包括安全参数的设置,主体、客体进行统 一安全标记,对主体进行授权,配置可信验证策略等。",,,
GB22239-FW-030,GB/T 22239—2019,requirement-control,安全设备集中管控区域和安全管理路径,Extracted,2,8.1.5.4 a-b | 9.1.5.4 a-b,"8 . 1 . 5 . 4    集中管控
a)   应划分出特定的管理区域,对分布在网络中的安全设备或安全组件进行管控 ;
b)   应能够建立一条安全的信息传输路径,对网络中的安全设备或安全组件进行管理 ;

--- EXCERPT ---

9 . 1 . 5 . 4    集中管控
a)   应划分出特定的管理区域,对分布在网络中的安全设备或安全组件进行管控 ;
b)   应能够建立一条安全的信息传输路径,对网络中的安全设备或安全组件进行管理 ;",,,
GB22239-FW-031,GB/T 22239—2019,requirement-control,设备运行状态集中监测,Extracted,2,8.1.5.4 c | 9.1.5.4 c,"8 . 1 . 5 . 4    集中管控
c)    应对网络链路、安全设备、网络设备和服务器等的运行状况进行集中监测 ;

--- EXCERPT ---

9 . 1 . 5 . 4    集中管控
c)    应对网络链路、安全设备、网络设备和服务器等的运行状况进行集中监测 ;",,,
GB22239-FW-032,GB/T 22239—2019,requirement-control,审计数据集中收集和留存,Extracted,2,8.1.5.4 d | 9.1.5.4 d,"8 . 1 . 5 . 4    集中管控
d)   应对分散在各个设备上的审计数据进行收集汇总和集中分析,并保证审计记录的留存时间符合法律法规要求 ;

--- EXCERPT ---

9 . 1 . 5 . 4    集中管控
d)   应对分散在各个设备上的审计数据进行收集汇总和集中分析,并保证审计记录的留存时间符合法律法规要求 ;",,,
GB22239-FW-033,GB/T 22239—2019,requirement-control,安全策略、恶意代码和补丁升级集中管理,Extracted,2,8.1.5.4 e | 9.1.5.4 e,"8 . 1 . 5 . 4    集中管控
e)   应对安全策略、恶意代码、补丁升级等安全相关事项进行集中管理 ;

--- EXCERPT ---

9 . 1 . 5 . 4    集中管控
e)   应对安全策略、恶意代码、补丁升级等安全相关事项进行集中管理 ;",,,
GB22239-FW-034,GB/T 22239—2019,requirement-control,安全事件集中识别、报警和分析,Extracted,2,8.1.5.4 f | 9.1.5.4 f,"8 . 1 . 5 . 4    集中管控
f)    应能对网络中发生的各类安全事件进行识别、报警和分析。

--- EXCERPT ---

9 . 1 . 5 . 4    集中管控
f)    应能对网络中发生的各类安全事件进行识别、报警和分析 ;",,,
GB22239-FW-035,GB/T 22239—2019,requirement-control,系统范围统一时钟,Extracted,1,9.1.5.4 g,"9 . 1 . 5 . 4    集中管控
g)   应保证系统范围内的时间由唯一确定的时钟产生,以保证各种数据的管理和分析在时间上的一致性。",,,
GB22239-FW-036,GB/T 22239—2019,requirement-control,通信数据完整性和保密性,Extracted,5,6.1.2.1 | 7.1.2.2 | 8.1.2.2 a-b | 9.1.2.2 a | 9.1.2.2 b-d,"6 . 1 . 2 . 1    通信传输
应采用校验技术保证通信过程中数据的完整性。

--- EXCERPT ---

7 . 1 . 2 . 2    通信传输
应采用校验技术保证通信过程中数据的完整性。

--- EXCERPT ---

8 . 1 . 2 . 2    通信传输
a)   应采用校验技术或密码技术保证通信过程中数据的完整性 ;
b)   应采用密码技术保证通信过程中数据的保密性。

--- EXCERPT ---

9 . 1 . 2 . 2    通信传输
a)   应采用密码技术保证通信过程中数据的完整性 ;

--- EXCERPT ---

9 . 1 . 2 . 2    通信传输
b)   应采用密码技术保证通信过程中数据的保密性 ;
c)    应在通信前基于密码技术对通信的双方进行验证或认证 ;
d)   应基于硬件密码模块对重要通信过程进行密码运算和密钥管理。",,,
GB22239-FW-CLOUD-001,GB/T 22239—2019,requirement-control,云服务客户虚拟网络隔离,Extracted,4,6.2.2.1 b | 7.2.2.1 b | 8.2.2.1 b | 9.2.2.1 b,"6 . 2 . 2 . 1      网络架构
b)   应实现不同云服务客户虚拟网络之间的隔离。

--- EXCERPT ---

7 . 2 . 2 . 1      网络架构
b)   应实现不同云服务客户虚拟网络之间的隔离 ;

--- EXCERPT ---

8 . 2 . 2 . 1      网络架构
b)   应实现不同云服务客户虚拟网络之间的隔离 ;

--- EXCERPT ---

9 . 2 . 2 . 1     网络架构
b)   应实现不同云服务客户虚拟网络之间的隔离 ;",,,
GB22239-FW-CLOUD-002,GB/T 22239—2019,requirement-control,虚拟化边界访问控制机制和规则,Extracted,4,6.2.3.1 | 7.2.3.1 a-b | 8.2.3.1 a-b | 9.2.3.1 a-b,"6 . 2 . 3 . 1    访问控制
应在虚拟化网络边界部署访问控制机制,并设置访问控制规则。

--- EXCERPT ---

7 . 2 . 3 . 1    访问控制
a)   应在虚拟化网络边界部署访问控制机制,并设置访问控制规则 ;
b)   应在不同等级的网络区域边界部署访问控制机制,设置访问控制规则。

--- EXCERPT ---

8 . 2 . 3 . 1    访问控制
a)   应在虚拟化网络边界部署访问控制机制,并设置访问控制规则 ;
b)   应在不同等级的网络区域边界部署访问控制机制,设置访问控制规则。

--- EXCERPT ---

9 . 2 . 3 . 1    访问控制
a)   应在虚拟化网络边界部署访问控制机制,并设置访问控制规则 ;
b)   应在不同等级的网络区域边界部署访问控制机制,设置访问控制规则。",,,
GB22239-FW-CLOUD-003,GB/T 22239—2019,requirement-control,云环境攻击和异常流量检测告警,Extracted,3,7.2.3.2 a-c | 8.2.3.2 a-d | 9.2.3.2 a-d,"7 . 2 . 3 . 2    入侵防范
a)   应能检测到云服务客户发起的网络攻击行为,并能记录攻击类型、攻击时间、攻击流量等 ;
b)   应能检测到对虚拟网络节点的网络攻击行为,并能记录攻击类型、攻击时间、攻击流量等 ;
c)    应能检测到虚拟机与宿主机、虚拟机与虚拟机之间的异常流量。

--- EXCERPT ---

8 . 2 . 3 . 2    入侵防范
a)   应能检测到云服务客户发起的网络攻击行为,并能记录攻击类型、攻击时间、攻击流量等 ;
b)   应能检测到对虚拟网络节点的网络攻击行为,并能记录攻击类型、攻击时间、攻击流量等 ;
c)    应能检测到虚拟机与宿主机、虚拟机与虚拟机之间的异常流量 ;
d)   应在检测到网络攻击行为、异常流量情况时进行告警。

--- EXCERPT ---

9 . 2 . 3 . 2    入侵防范
a)   应能检测到云服务客户发起的网络攻击行为,并能记录攻击类型、攻击时间、攻击流量等 ;
b)   应能检测到对虚拟网络节点的网络攻击行为,并能记录攻击类型、攻击时间、攻击流量等 ;
c)    应能检测到虚拟机与宿主机、虚拟机与虚拟机之间的异常流量 ;
d)   应在检测到网络攻击行为、异常流量情况时进行告警。",,,
